Document_Name;Code;Segment
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Russians and Ukrainians were one people – a single whole
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the wall that has emerged in recent ​years between Russia and Ukraine, between the parts of what is essentially ​the same historical and spiritual space, to my mind is our great common ​misfortune and tragedy.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;between the parts of what is essentially ​the same historical and spiritual space
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;These are, first and foremost, the consequences of our ​own mistakes made at different periods of time.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;our ​unity
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;attempts to play on the ”national ​question“
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;sow discord among people
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;divide ​and then to pit the parts of a single people against one another
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;To have a better understanding of the present and look into the future, we need ​to turn to history
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Russians, Ukrainians, and Belarusians are all descendants of Ancient Rus
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Slavic and other tribes across the vast territory – ​from Ladoga, Novgorod, and Pskov to Kiev and Chernigov – were bound together ​by one language
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;which we now refer to as Old Russian
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the Orthodox faith
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;The spiritual choice made by St. Vladimir, who was both ​Prince of Novgorod and Grand Prince of Kiev, still largely determines our affinity ​today
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;St. Vladimir, who was both ​Prince of Novgorod and Grand Prince of Kiev
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;The throne of Kiev held a dominant position in Ancient Rus
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;custom since the late 9th century
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the words of Oleg the Prophet about Kiev, ”Let it be the mother of all ​Russian cities
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;both the nobility ​and the common people perceived Rus as a common territory, as their ​homeland
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;our shared history, reflecting its complex ​and multi-dimensional nature
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;people both in the western and eastern Russian lands spoke ​the same language
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Their faith was Orthodox
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Up to the middle ​of the 15th century, the unified church government remained in place
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;At a new stage of historical development, both Lithuanian Rus and Moscow Rus ​could have become the points of attraction and consolidation of the territories ​of Ancient Rus
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;It so happened that Moscow became the center of reunification, ​continuing the tradition of ancient Russian statehood
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;Moscow princes – ​the descendants of Prince Alexander Nevsky – cast off the foreign yoke ​and began gathering the Russian lands
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the liberation movement ​of the Orthodox population was gaining strength in the Dnieper region
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Benevolent Protector and Moral Authority;the Russian state decided to support their brothers
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;take them under patronage
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;the ambassadors of Bohdan ​Khmelnytsky and Moscow visited dozens of cities, including Kiev, whose ​populations swore allegiance to the Russian tsar.
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;In a letter to Moscow in 1654, Bohdan Khmelnytsky thanked Tsar Aleksey ​Mikhaylovich for taking ”the whole Zaporizhian Host and the whole Russian ​Orthodox world under the strong and high hand of the Tsar
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;the Cossacks ​referred to and defined themselves as Russian Orthodox people
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;The Russian state ​incorporated the city of Kiev and the lands on the left bank of the Dnieper River, ​including Poltava region, Chernigov region, and Zaporozhye
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Unity and Kinship of Russians and Ukranians;Their inhabitants ​were reunited with the main part of the Russian Orthodox people
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;These ​territories were referred to as ”Malorossia“ (Little Russia)
Putin, V. (2021). On the Historical Unity of Russians and Ukrainians;Historical Entitlement;The name ”Ukraine“ was used more often in the meaning of the Old Russian ​word ”okraina“ (periphery)
